nombre,artista,album,genero,año
Black Bottom Stomp,Jelly Roll,Best of the Essential Years: Jelly Roll Morton,country,2012
Hyena Stomp,Jelly Roll,Best of the Essential Years: Jelly Roll Morton,country,2012
Blue Blood Blues,Jelly Roll,Best of the Essential Years: Jelly Roll Morton,country,2012
Smoke House Blues,Jelly Roll,Best of the Essential Years: Jelly Roll Morton,country,2012
Winin' Boy Blues,Jelly Roll,Best of the Essential Years: Jelly Roll Morton,country,2012
West End Blues,Jelly Roll,Best of the Essential Years: Jelly Roll Morton,country,2012
Dead Man Blues,Jelly Roll,Best of the Essential Years: Jelly Roll Morton,country,2012
Wild Man Blues,Jelly Roll,Best of the Essential Years: Jelly Roll Morton,country,2012
High Society,Jelly Roll,Best of the Essential Years: Jelly Roll Morton,country,2012
Grandpa's Spells,Jelly Roll,Best of the Essential Years: Jelly Roll Morton,country,2012
Mushmouth Shuffle,Jelly Roll,Best of the Essential Years: Jelly Roll Morton,country,2012
Sidewalk Blues,Jelly Roll,Best of the Essential Years: Jelly Roll Morton,country,2012
Jungle Blues,Jelly Roll,Best of the Essential Years: Jelly Roll Morton,country,2012
Stroking Away,Jelly Roll,Best of the Essential Years: Jelly Roll Morton,country,2012
Don't You Leave Me Here,Jelly Roll,Best of the Essential Years: Jelly Roll Morton,country,2012
Steamboat Stomp,Jelly Roll,Best of the Essential Years: Jelly Roll Morton,country,2012
Original Jelly Roll Blues,Jelly Roll,Best of the Essential Years: Jelly Roll Morton,country,2012
Fickle Fay Creep,Jelly Roll,Best of the Essential Years: Jelly Roll Morton,country,2012
Billy Goat Stomp,Jelly Roll,Best of the Essential Years: Jelly Roll Morton,country,2012
Someday Sweetheart,Jelly Roll,Best of the Essential Years: Jelly Roll Morton,country,2012
Beale Street Blues,Jelly Roll,Best of the Essential Years: Jelly Roll Morton,country,2012
Wolverine Blues,Jelly Roll,Best of the Essential Years: Jelly Roll Morton,country,2012
The Pearls,Jelly Roll,Best of the Essential Years: Jelly Roll Morton,country,2012
Canon Ball Blues,Jelly Roll,Best of the Essential Years: Jelly Roll Morton,country,2012
Though I Heard Buddy Bolden Say,Jelly Roll,Best of the Essential Years: Jelly Roll Morton,country,2012
Doctor Jazz Stomp,Jelly Roll,Best of the Essential Years: Jelly Roll Morton,country,2012
Climax Rag 1,Jelly Roll,Best of the Essential Years: Jelly Roll Morton,country,2012
Oh Didn't He Ramble,Jelly Roll,Best of the Essential Years: Jelly Roll Morton,country,2012
Ballin the Jack,Jelly Roll,Best of the Essential Years: Jelly Roll Morton,country,2012
Rolling Thunder,Jelly Roll,Rolling Thunder,country,2012
Doctor Jazz,Jelly Roll,The Best of Jelly Roll Morton,country,2012
Original Jelly Roll Blues,Jelly Roll,The Best of Jelly Roll Morton,country,2012
Mr.Jelly Lord,Jelly Roll,The Best of Jelly Roll Morton,country,2012
Beale Street Blues,Jelly Roll,The Best of Jelly Roll Morton,country,2012
"Oh, Didn't He Ramble!",Jelly Roll,The Best of Jelly Roll Morton,country,2012
High Society,Jelly Roll,The Best of Jelly Roll Morton,country,2012
I Thought I Heard Buddy Bolden Say,Jelly Roll,The Best of Jelly Roll Morton,country,2012
Kansas City Stomp,Jelly Roll,The Best of Jelly Roll Morton,country,2012
Shoe Shiner's Drag,Jelly Roll,The Best of Jelly Roll Morton,country,2012
Shreveport Stomp,Jelly Roll,The Best of Jelly Roll Morton,country,2012
Turtle Twist,Jelly Roll,The Best of Jelly Roll Morton,country,2012
Georgia Swing,Jelly Roll,The Best of Jelly Roll Morton,country,2012
Wild Man Blues,Jelly Roll,The Best of Jelly Roll Morton,country,2012
Black Bottom Stomp,Jelly Roll,The Best of Jelly Roll Morton,country,2012
Cannon Ball Blues,Jelly Roll,The Best of Jelly Roll Morton,country,2012
Wolverine Blues,Jelly Roll,The Best of Jelly Roll Morton,country,2012
Boogaboo,Jelly Roll,The Best of Jelly Roll Morton,country,2012
Grandpa's Spells,Jelly Roll,The Best of Jelly Roll Morton,country,2012
Black Bottom Stomp,Jelly Roll,Best Of The Essential Years: Jelly Roll Morton,country,2012
Hyena Stomp,Jelly Roll,Best Of The Essential Years: Jelly Roll Morton,country,2012
Blue Blood Blues,Jelly Roll,Best Of The Essential Years: Jelly Roll Morton,country,2012
Smoke House Blues,Jelly Roll,Best Of The Essential Years: Jelly Roll Morton,country,2012
Winin' Boy Blues,Jelly Roll,Best Of The Essential Years: Jelly Roll Morton,country,2012
West End Blues,Jelly Roll,Best Of The Essential Years: Jelly Roll Morton,country,2012
Dead Man Blues,Jelly Roll,Best Of The Essential Years: Jelly Roll Morton,country,2012
Wild Man Blues,Jelly Roll,Best Of The Essential Years: Jelly Roll Morton,country,2012
High Society,Jelly Roll,Best Of The Essential Years: Jelly Roll Morton,country,2012
Grandpa's Spells,Jelly Roll,Best Of The Essential Years: Jelly Roll Morton,country,2012
Mushmouth Shuffle,Jelly Roll,Best Of The Essential Years: Jelly Roll Morton,country,2012
Sidewalk Blues,Jelly Roll,Best Of The Essential Years: Jelly Roll Morton,country,2012
Jungle Blues,Jelly Roll,Best Of The Essential Years: Jelly Roll Morton,country,2012
Stroking Away,Jelly Roll,Best Of The Essential Years: Jelly Roll Morton,country,2012
Don't You Leave Me Here,Jelly Roll,Best Of The Essential Years: Jelly Roll Morton,country,2012
Steamboat Stomp,Jelly Roll,Best Of The Essential Years: Jelly Roll Morton,country,2012
Original Jelly Roll Blues,Jelly Roll,Best Of The Essential Years: Jelly Roll Morton,country,2012
Fickle Fay Creep,Jelly Roll,Best Of The Essential Years: Jelly Roll Morton,country,2012
Billy Goat Stomp,Jelly Roll,Best Of The Essential Years: Jelly Roll Morton,country,2012
Someday Sweetheart,Jelly Roll,Best Of The Essential Years: Jelly Roll Morton,country,2012
Beale Street Blues,Jelly Roll,Best Of The Essential Years: Jelly Roll Morton,country,2012
Wolverine Blues,Jelly Roll,Best Of The Essential Years: Jelly Roll Morton,country,2012
