artista,bio_resumen,listeners
LaRumbé,,256
Morat,"Morat is a Colombian band formed in the country's capital city, Bogotá. The band is formed by Juan Pablo Isaza (guitars and vocals), Juan Pablo Villamil (banjo and vocals) and the brothers Simón Vargas (bass and choruses) and Martín Vargas (percussion and choirs). Previously, until the end of 2016, drummer Alejandro Posada had been in the band, but the percussionist had to leave the project, being subsequently replaced by Martín Vargas.

They began to stand out internationally in 2015",292367
Don Omar,"William Omar Landrón (born February 10, 1978 in Puerto Rico), better known as Don Omar, is a reggaeton singer. He is one of the most well known reggaeton artists in Latin America. His cross over success in the U.S. has given him more exposure to English speaking Reggaeton fans, making him one of the more recognizable faces of Reggaeton along with Daddy Yankee and Tego Calderón. Don Omar's popularity is currently rising and he recently appeared on MTV.",1703423
Duki,"Mauro Ezequiel Lombardo Quiroga, conocido artísticamente como Duki, es uno de los artistas más influyentes y populares en la escena del trap y la música urbana en Argentina y América Latina. Nació el 24 de junio de 1996 en Almagro, Buenos Aires.

Inicios en la música

Duki empezó a ganar notoriedad en la escena del freestyle argentino, particularmente en la competencia ""El Quinto Escalón"", junto a otros artistas emergentes como Ysy A y Neo Pistea.",283448
Milo j,"Camilo Joaquín Villarruel nació el 25 de octubre de 2006, en la ciudad de Morón, ubicada en la zona oeste del Gran Buenos Aires (Argentina). Fue el tercer hijo del matrimonio conformado por Walter Villarruel y Aldana Celeste Ríos.​ Su interés por la música comenzó a los 8 u 9 años, inspirado por su hermana, con quién escribía sus propias canciones y lo llevaba a participar en las competencias de freestyle.",243123
Beéle,"Brandon De Jesús López Orozco, mejor conocido como Beéle, es un cantante y autor enfocado en sonidos del caribe y el mundo urbano. Nacido en Barranquilla, Colombia, el cantante de 17 años empezó su carrera a los 13 años.

En el 2019, fue firmado por DJ Luian y Mambo Kingz: Hear This Music, con el tema “Loco” como su debut. Beéle ha colaborado con otros artistas, como Montano, Totoy, Farruko, Natti Natasha, Manuel Turizo, entre otros.",189012
Prince Royce,"Geoffrey Royce Rojas was born and raised in the Bronx, New York. His parents are both from the land of bachata, The Dominican Republic. His parents got divorced, so it was just him, his mom, and siblings. Geoffrey loved singing, so one day he asked permission to remake the song ""Stand By Me"". After that song the record company signed him, and he makes many songs. His two popular songs are ""Stand By Me"" and ""Corazon Sin Cara"". He has won two Latin Grammy Awards!",704236
Blessd,"Stiven Mesa Londoño (Itagüí, January 27, 2000), known by his stage name Blessd, is a Colombian singer, songwriter and sports manager.

In October 2021, he signed with Warner Music Latina and released his first studio album called ""Hecho en Medellín"". One of his songs was inspired by Octavio Mesa. His most popular song from the album, titled ""MEDALLO"", reached number 1 in Colombia and has more than 431 million views on YouTube. In March 2022, he was nominated for three Heat Latin Music Awards",242564
ROA,"There are at least six artists called ROA:
1) Rise Of Artificial is a musical project founded during the autumn of 2010, by two of the greatest/most prodigious electronic music producers in Romania, Bogdan Popoiag (UNU') and Cezar Stănciulescu (Junkyard, Șuie Paparude).
The radio premiere of the project took place on the 10th November, by the release of the first single entitled ''Ne place'' -- ''We like it'', which was first presented on Radio Guerilla.",70338
Yung Beef,"Fernando Gálvez Gómez, known artistically as Yung Beef, is a Spanish singer, rapper, record producer and model. He is known for his mixing of trap, salsa and reggaeton, as well as his bold fashion sense. 
He began to become popular as a member of the extinct PXXR GVNG (today Los Santos), which was the first trap collective to sign with a multinational, but now he runs his own record label, La Vendición. He later gained popularity in the Spanish rap scene with his acclaimed mixtape A.",138271
